id_orgao;sigla_orgao;nome_orgao;site_orgao;Responsavel;endereco;bairro;cep;cnpj_orgao;complemento;telefone_comercial;responsavel_1;lat;long;natureja_juridica; competência;finalidade;missão;descrição;área_atuação;legislação_criação;regulamentação
1;EMPREL;Empresa Municipal de Informática;https://www.emprel.gov.br/;Bernardo D`Almeida;Rua do Brum, 123;do Recife;50.030-260;11006269000100,0;;8133557-000;;;;;;;;;;;
2;SEPLAGTD;Secretaria de Planejamento, Gestão e Transformação Digital;www.recife.pe.gov.br;Felipe Martins Matos;Avenida Cais do Apolo, 925;Recife;50030-903;10565000000192,0;;8133558000;;;;;;;;;;;
3;SDECTI;Secretaria de Desenvolvimento Econômico, Ciência, Tecnologia e Inovação;https://desenvolvimentoeconomico.recife.pe.gov.br/;Joana Portela Florêncio;Rua do Brum, 123, 3º andar, Empresarial Maurício Brandão Mattos;do Recife;50030-260;;;(81) 3355-7130;;;;;;;;;;;
4;AESP;Gabinete de Assessoria Especial;www.recife.pe.gov.br;Antonio Mário da Mota Limeira Filho;Avenida Cais do Apolo, 925;Recife;50030-903;10565000000192,0;;8133555500;;;;;;;;;;;
5;PGM;Procuradoria-Geral do Município;www.recife.pe.gov.br;Pedro José de Albuquerque Pontes;Avenida Cais do Apolo, 925;Recife;50030-903;10565000000192,0;;8133558000;;;;;;;;;;;
6;GVP;Gabinete Vice-Prefeitura;www.recife.pe.gov.br;Isabella Menezes de Roldão Fiorizano;Avenida Cais do Apolo, 925;Recife;50030-903;10565000000192,0;;8133558000;;;;;;;;;;;
7;GPREF;Gabinete Prefeito;www.recife.pe.gov.br;Fábio Rogério Guimarães do Nascimento Bezerra ;Avenida Cais do Apolo, 925;Recife;50030-903;10565000000192,0;;8133558000;;;;;;;;;;;
8;GABPE;Gabinete de Projetos Especiais;www.recife.pe.gov.br;Cinthia Cibele de Souza Mello;Avenida Cais do Apolo, 925;Recife;50030-903;10565000000192,0;;8133558000;;;;;;;;;;;
9;GABCENTRO;Gabineto do Centro do Recife;www.recife.pe.gov.br;Ana Paula de Oliveira Vilaça Leal;Rua do Apolo, 106, Bairro do Recife, 50030-220 - Recife/PE;Recife;50030-903;10565000000192,0;;8133558000;;;;;;;;;;;
10;GABCOM;Gabinete de Comunicação;www.recife.pe.gov.br;Rafael Salviano Marques Marroquim;Avenida Cais do Apolo, 925;Recife;50030-903;10565000000192,0;;813355-8453;;;;;;;;;;;
11;CGM;Controladoria-Geral do Município;https://www2.recife.pe.gov.br/;José Ricardo Wanderle Dantas de Oliveira;Av Cais do Apolo;Bairro do Recife;50030-903;10565000000192,0;925;;;;;;;;;;;;
12;AMPASS;Autarquia Municipal de Previdência e Assistência à Saúde dos Servidores;www.reciprev.recife.gov.pe.br;Marconi Muzzio Pires de Paiva Filho;Av. Manoel Borba, 488;Boa Vista;50070-000;;;3355-1601 / 1650;;;;;;;;;;;
13;CONVIVA;CONVIVA Mercados e Feiras- Autarquia Municipal;;Gabriel Leitão;Av. General Mac Arthur, 1540;Imbiribeira;51.160-280;;;;;;;;;;;;;;
14;CTTU;Autarquia de Trânsito e Transporte Urbano do Recife;;Taciana Ferreira;Av. Cruz Cabugá, 304;Santo Amaro;50040-000;10846103000120,0;;3355.5300;;;;;;;;;;;
15;EMLURB;Autarquia de Manutenção e Limpeza Urbana do Recife;;Marília Dantas ;Av Governador Carlos de Lima Cavalcante  n 9;Soledade;50070-110;;;;;;;;;;;;;;
16;URB;Autarquia de Urbanização do Recife;https://www2.recife.pe.gov.br/pagina/autarquia-de-;Luís Henrique Lira;Avenida Oliveira Lima, 867;Boa Vista;50050-390;;;(81) 3355-5000;;;;;;;;;;;
17;FCCR;Fundação de Cultura Cidade do Recife;;Marcelo Canuto;Av Cais do Apolo, 925;Recife;;;15 andar;;;;;;;;;;;;
18;SEGOV;Secretaria de Governo e Participação Social;www.recife.pe.gov.br;Aldemar Silva dos Santos ;Avenida Cais do Apolo, 925;Recife;50030-903;10565000000192,0;;8133558000;;;;;;;;;;;
19;SEFIN;Secretaria de Finanças;www.recife.pe.gov.br;Maíra Rufino Fischer;Avenida Cais do Apolo, 925;Recife;50030-903;10565000000192,0;;8133558000;;;;;;;;;;;
20;SEINFRA;Secretaria de Infraestrutura;www.recife.pe.gov.br;Marília Dantas da Silva ;Avenida Cais do Apolo, 925;Recife;50030-903;10565000000192,0;;8133558000;;;;;;;;;;;
